date_extraction,activite,activite_emprunteur,activite_emprunteur_bus,activite_emprunteur_med,activite_salle_etude,activite_utilisateur_postes_informatiques,activite_utilisateur_wifi,Tranches d’âge (1),Tranches d’âge (2),Roubaisien ou non,Code IRIS de Roubaix,Nom de l’IRIS à Roubaix,Commune de résidence,inscription_attribut_action,inscription_attribut_zebre,inscription_carte,nombre d’années d’adhésion,type_inscription,nb_venues,nb_venues_postes_informatiques,nb_venues_prets,nb_venues_prets_bus,nb_venues_prets_mediatheque,nb_venues_salle_etude,nb_venues_wifi,sexe,geo_point_2d
2018,postes,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Utilisateur postes informatiques,Non utilisateur Wifi,0 - 14 ans,11 - 14 ans,Roubaisien,595120504.0,TRICHON,ROUBAIX,,,Médiathèque,5,gratuite,7.0,7.0,0.0,0.0,0.0,0.0,0.0,Femme,"50.6899026291,3.16585093674"
2018,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,0 - 14 ans,06 - 10 ans,Roubaisien,595120504.0,TRICHON,ROUBAIX,,,Médiathèque Plus (Conservatoire),4,gratuite,11.0,0.0,11.0,0.0,11.0,0.0,0.0,Femme,"50.6899026291,3.16585093674"
2018,prêt + postes + wifi,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Utilisateur postes informatiques,Utilisateur Wifi,0 - 14 ans,11 - 14 ans,Roubaisien,595120504.0,TRICHON,ROUBAIX,,,Médiathèque,4,gratuite,19.0,13.0,9.0,0.0,9.0,0.0,3.0,Homme,"50.6899026291,3.16585093674"
2018,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,25 - 64 ans,55 - 64 ans,Roubaisien,595120504.0,TRICHON,ROUBAIX,,,Médiathèque,13,gratuite,4.0,0.0,4.0,0.0,4.0,0.0,0.0,Femme,"50.6899026291,3.16585093674"
2018,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,25 - 64 ans,40 - 54 ans,Roubaisien,595120504.0,TRICHON,ROUBAIX,,,Médiathèque Plus (17 €),13,payante,4.0,0.0,4.0,0.0,4.0,0.0,0.0,Femme,"50.6899026291,3.16585093674"
2018,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,65 ans et plus,65 - 79 ans,Roubaisien,595120504.0,TRICHON,ROUBAIX,,,Médiathèque Plus (17 €),13,payante,7.0,0.0,7.0,0.0,7.0,0.0,0.0,Homme,"50.6899026291,3.16585093674"
2018,aucune trace,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,15 - 24 ans,18 - 19 ans,Roubaisien,595120504.0,TRICHON,ROUBAIX,,,Médiathèque Plus (5 €),3,payante,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Homme,"50.6899026291,3.16585093674"
2018,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,25 - 64 ans,30 - 39 ans,Roubaisien,595120504.0,TRICHON,ROUBAIX,,,Médiathèque,2,gratuite,4.0,0.0,4.0,0.0,4.0,0.0,0.0,Femme,"50.6899026291,3.16585093674"
2018,aucune trace,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,25 - 64 ans,55 - 64 ans,Roubaisien,595120504.0,TRICHON,ROUBAIX,,,Médiathèque,0,gratuite,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Femme,"50.6899026291,3.16585093674"
2018,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,25 - 64 ans,30 - 39 ans,Roubaisien,595120504.0,TRICHON,ROUBAIX,,,Médiathèque,13,gratuite,2.0,0.0,2.0,0.0,2.0,0.0,0.0,Femme,"50.6899026291,3.16585093674"
2018,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,25 - 64 ans,40 - 54 ans,Roubaisien,595120504.0,TRICHON,ROUBAIX,,,Médiathèque,4,gratuite,11.0,0.0,11.0,0.0,11.0,0.0,0.0,Femme,"50.6899026291,3.16585093674"
2018,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,25 - 64 ans,40 - 54 ans,Roubaisien,595120504.0,TRICHON,ROUBAIX,,,Médiathèque,13,gratuite,2.0,0.0,2.0,0.0,2.0,0.0,0.0,Femme,"50.6899026291,3.16585093674"
2018,postes,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Utilisateur postes informatiques,Non utilisateur Wifi,25 - 64 ans,25 - 29 ans,Roubaisien,595120504.0,TRICHON,ROUBAIX,,,Médiathèque,2,gratuite,13.0,13.0,0.0,0.0,0.0,0.0,0.0,Femme,"50.6899026291,3.16585093674"
2018,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,25 - 64 ans,55 - 64 ans,Roubaisien,595120504.0,TRICHON,ROUBAIX,,,Médiathèque,2,gratuite,2.0,0.0,2.0,0.0,2.0,0.0,0.0,Homme,"50.6899026291,3.16585093674"
2018,aucune trace,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,25 - 64 ans,40 - 54 ans,Roubaisien,595120504.0,TRICHON,ROUBAIX,,,Médiathèque,0,gratuite,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Homme,"50.6899026291,3.16585093674"
2018,prêt + postes,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Utilisateur postes informatiques,Non utilisateur Wifi,0 - 14 ans,03 - 5 ans,Roubaisien,595120504.0,TRICHON,ROUBAIX,,,Médiathèque,0,gratuite,8.0,5.0,5.0,0.0,5.0,0.0,0.0,Femme,"50.6899026291,3.16585093674"
2018,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,25 - 64 ans,55 - 64 ans,Roubaisien,595120504.0,TRICHON,ROUBAIX,,,Médiathèque,0,gratuite,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Homme,"50.6899026291,3.16585093674"
2018,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,25 - 64 ans,30 - 39 ans,Roubaisien,595120601.0,ESPERANCE CENTRE,ROUBAIX,,,Médiathèque,2,gratuite,10.0,0.0,10.0,0.0,10.0,0.0,0.0,Homme,"50.6913285696,3.17220444227"
2018,prêt + étude + postes,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Utilisateur Salle d'étude,Utilisateur postes informatiques,Non utilisateur Wifi,0 - 14 ans,06 - 10 ans,Roubaisien,595120601.0,ESPERANCE CENTRE,ROUBAIX,,,Médiathèque,3,gratuite,6.0,3.0,5.0,0.0,5.0,1.0,0.0,Femme,"50.6913285696,3.17220444227"
2018,prêt + postes,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Utilisateur postes informatiques,Non utilisateur Wifi,0 - 14 ans,06 - 10 ans,Roubaisien,595120504.0,TRICHON,ROUBAIX,,,Médiathèque,3,gratuite,7.0,5.0,6.0,0.0,6.0,0.0,0.0,Homme,"50.6899026291,3.16585093674"
2018,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,0 - 14 ans,11 - 14 ans,Roubaisien,595120504.0,TRICHON,ROUBAIX,,,Médiathèque,2,gratuite,5.0,0.0,5.0,0.0,5.0,0.0,0.0,Femme,"50.6899026291,3.16585093674"
2018,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,0 - 14 ans,11 - 14 ans,Roubaisien,595120504.0,TRICHON,ROUBAIX,,,Médiathèque,0,gratuite,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Homme,"50.6899026291,3.16585093674"
2018,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,15 - 24 ans,18 - 19 ans,Roubaisien,595120504.0,TRICHON,ROUBAIX,,,Médiathèque Plus (17 €),9,payante,6.0,0.0,6.0,0.0,6.0,0.0,0.0,Femme,"50.6899026291,3.16585093674"
2018,prêt + postes,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Utilisateur postes informatiques,Non utilisateur Wifi,0 - 14 ans,06 - 10 ans,Roubaisien,595120504.0,TRICHON,ROUBAIX,,,Médiathèque,3,gratuite,6.0,4.0,5.0,0.0,5.0,0.0,0.0,Homme,"50.6899026291,3.16585093674"
2018,prêt + postes,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Utilisateur postes informatiques,Non utilisateur Wifi,15 - 24 ans,18 - 19 ans,Roubaisien,595120504.0,TRICHON,ROUBAIX,,,Médiathèque,1,gratuite,3.0,2.0,2.0,0.0,2.0,0.0,0.0,Femme,"50.6899026291,3.16585093674"
2018,postes,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Utilisateur postes informatiques,Non utilisateur Wifi,0 - 14 ans,11 - 14 ans,Roubaisien,595120504.0,TRICHON,ROUBAIX,,,Médiathèque,0,gratuite,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Femme,"50.6899026291,3.16585093674"
2018,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,65 ans et plus,80 ans et plus,Roubaisien,595120504.0,TRICHON,ROUBAIX,,,Médiathèque,13,gratuite,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Femme,"50.6899026291,3.16585093674"
2018,aucune trace,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,0 - 14 ans,06 - 10 ans,Roubaisien,595120504.0,TRICHON,ROUBAIX,,,Médiathèque,3,gratuite,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Femme,"50.6899026291,3.16585093674"
2018,prêt + étude + postes + wifi,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Utilisateur Salle d'étude,Utilisateur postes informatiques,Utilisateur Wifi,0 - 14 ans,06 - 10 ans,Roubaisien,595120504.0,TRICHON,ROUBAIX,,,Médiathèque Plus (5 €),3,payante,3.0,1.0,3.0,0.0,3.0,1.0,1.0,Homme,"50.6899026291,3.16585093674"
2018,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,65 ans et plus,65 - 79 ans,Roubaisien,595120504.0,TRICHON,ROUBAIX,,,Médiathèque,1,gratuite,8.0,0.0,8.0,0.0,8.0,0.0,0.0,Femme,"50.6899026291,3.16585093674"
2018,prêt + postes,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Utilisateur postes informatiques,Non utilisateur Wifi,15 - 24 ans,20 - 24 ans,Roubaisien,595120504.0,TRICHON,ROUBAIX,,,Médiathèque,1,gratuite,31.0,18.0,19.0,0.0,19.0,0.0,0.0,Femme,"50.6899026291,3.16585093674"
2018,aucune trace,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,0 - 14 ans,11 - 14 ans,Roubaisien,595120504.0,TRICHON,ROUBAIX,,,Médiathèque,0,gratuite,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Femme,"50.6899026291,3.16585093674"
2018,prêt + postes,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Utilisateur postes informatiques,Non utilisateur Wifi,25 - 64 ans,55 - 64 ans,Roubaisien,595120504.0,TRICHON,ROUBAIX,,,Médiathèque,13,gratuite,9.0,2.0,9.0,0.0,9.0,0.0,0.0,Femme,"50.6899026291,3.16585093674"
2018,aucune trace,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,25 - 64 ans,30 - 39 ans,Roubaisien,595120504.0,TRICHON,ROUBAIX,,,Médiathèque,0,gratuite,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Femme,"50.6899026291,3.16585093674"
2018,postes,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Utilisateur postes informatiques,Non utilisateur Wifi,15 - 24 ans,20 - 24 ans,Roubaisien,595120504.0,TRICHON,ROUBAIX,,,Médiathèque,13,gratuite,4.0,4.0,0.0,0.0,0.0,0.0,0.0,Femme,"50.6899026291,3.16585093674"
2018,prêt + postes,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Utilisateur postes informatiques,Non utilisateur Wifi,15 - 24 ans,20 - 24 ans,Roubaisien,595120504.0,TRICHON,ROUBAIX,,,Médiathèque,0,gratuite,5.0,2.0,4.0,0.0,4.0,0.0,0.0,Femme,"50.6899026291,3.16585093674"
2018,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,25 - 64 ans,25 - 29 ans,Roubaisien,595120504.0,TRICHON,ROUBAIX,,,Médiathèque,0,gratuite,2.0,0.0,2.0,0.0,2.0,0.0,0.0,Femme,"50.6899026291,3.16585093674"
2018,postes,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Utilisateur postes informatiques,Non utilisateur Wifi,15 - 24 ans,15 - 17 ans,Roubaisien,595120504.0,TRICHON,ROUBAIX,,,Médiathèque,2,gratuite,6.0,6.0,0.0,0.0,0.0,0.0,0.0,Homme,"50.6899026291,3.16585093674"
2018,postes,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Utilisateur postes informatiques,Non utilisateur Wifi,15 - 24 ans,20 - 24 ans,Roubaisien,595120504.0,TRICHON,ROUBAIX,,,Médiathèque,0,gratuite,3.0,3.0,0.0,0.0,0.0,0.0,0.0,Homme,"50.6899026291,3.16585093674"
2018,prêt + postes,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Utilisateur postes informatiques,Non utilisateur Wifi,0 - 14 ans,06 - 10 ans,Roubaisien,595120504.0,TRICHON,ROUBAIX,,,Médiathèque,0,gratuite,4.0,2.0,4.0,0.0,4.0,0.0,0.0,Homme,"50.6899026291,3.16585093674"
2018,aucune trace,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,0 - 14 ans,03 - 5 ans,Roubaisien,595120504.0,TRICHON,ROUBAIX,,,Médiathèque,0,gratuite,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Femme,"50.6899026291,3.16585093674"
2018,postes + wifi,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Utilisateur postes informatiques,Utilisateur Wifi,25 - 64 ans,30 - 39 ans,Roubaisien,595120504.0,TRICHON,ROUBAIX,,,Consultation sur place,0,gratuite,1.0,1.0,0.0,0.0,0.0,0.0,1.0,Homme,"50.6899026291,3.16585093674"
2018,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,0 - 14 ans,06 - 10 ans,Roubaisien,595120504.0,TRICHON,ROUBAIX,Visite de classe,,Médiathèque,2,gratuite,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Homme,"50.6899026291,3.16585093674"
2018,aucune trace,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,0 - 14 ans,03 - 5 ans,Roubaisien,595120504.0,TRICHON,ROUBAIX,Visite de classe,,Médiathèque,0,gratuite,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Femme,"50.6899026291,3.16585093674"
2018,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,25 - 64 ans,30 - 39 ans,Roubaisien,595120504.0,TRICHON,ROUBAIX,Visite de classe,,Médiathèque,1,gratuite,3.0,0.0,3.0,0.0,3.0,0.0,0.0,Femme,"50.6899026291,3.16585093674"
2018,aucune trace,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,0 - 14 ans,06 - 10 ans,Roubaisien,595120504.0,TRICHON,ROUBAIX,Visite de classe,,Médiathèque,1,gratuite,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Homme,"50.6899026291,3.16585093674"
2018,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,15 - 24 ans,20 - 24 ans,Roubaisien,595120504.0,TRICHON,ROUBAIX,,,Médiathèque Plus (5 €),0,payante,2.0,0.0,2.0,0.0,2.0,0.0,0.0,Homme,"50.6899026291,3.16585093674"
2018,prêt + postes + wifi,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Utilisateur postes informatiques,Utilisateur Wifi,15 - 24 ans,20 - 24 ans,Roubaisien,595120504.0,TRICHON,ROUBAIX,,,Médiathèque,4,gratuite,46.0,43.0,5.0,0.0,5.0,0.0,4.0,Femme,"50.6899026291,3.16585093674"
2018,prêt,Emprunteur,Emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,0 - 14 ans,11 - 14 ans,Roubaisien,595120504.0,TRICHON,ROUBAIX,,Arrêt Bus Place Roussel,Médiathèque,3,gratuite,6.0,0.0,6.0,4.0,2.0,0.0,0.0,Femme,"50.6899026291,3.16585093674"
2018,postes,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Utilisateur postes informatiques,Non utilisateur Wifi,0 - 14 ans,06 - 10 ans,Roubaisien,595120504.0,TRICHON,ROUBAIX,,Arrêt Bus Rue de Rome,Médiathèque,0,gratuite,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Homme,"50.6899026291,3.16585093674"
2018,prêt + étude + postes,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Utilisateur Salle d'étude,Utilisateur postes informatiques,Non utilisateur Wifi,25 - 64 ans,30 - 39 ans,Roubaisien,595120601.0,ESPERANCE CENTRE,ROUBAIX,,,Médiathèque,3,gratuite,39.0,39.0,1.0,0.0,1.0,1.0,0.0,Homme,"50.6913285696,3.17220444227"
2018,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,25 - 64 ans,30 - 39 ans,Roubaisien,595120601.0,ESPERANCE CENTRE,ROUBAIX,,,Médiathèque,5,gratuite,8.0,0.0,8.0,0.0,8.0,0.0,0.0,Femme,"50.6913285696,3.17220444227"
2018,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,65 ans et plus,80 ans et plus,Roubaisien,595120601.0,ESPERANCE CENTRE,ROUBAIX,,,Médiathèque,13,gratuite,5.0,0.0,5.0,0.0,5.0,0.0,0.0,Femme,"50.6913285696,3.17220444227"
2018,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,25 - 64 ans,30 - 39 ans,Roubaisien,595120601.0,ESPERANCE CENTRE,ROUBAIX,,,Médiathèque,6,gratuite,4.0,0.0,4.0,0.0,4.0,0.0,0.0,Femme,"50.6913285696,3.17220444227"
